Date,Product,Quantity,UnitPrice,StoreLocation,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,discount_amount,lead_time_days,margin_ratio,order_month,Region_East,Region_North,Region_South,Region_West,CustomerType_Wholesale,season_Spring,season_Summer,season_Winter
2024-04-10,Desk,15,523.29,Store B,0.15,Eva,6671.947499999999,Debit Card,FREESHIP,0,REG100010,Cust 1462,12.14,2024-04-10,2024-04-17,Ryan,1177.4025,7,0.9981804413179209,4,0,1,0,0,1,1,0,0
2024-07-12,Phone,19,207.35,Store D,0.1,Eva,3545.685,Gift Card,FREESHIP,0,REG100011,Cust 4330,44.89,2024-07-12,2024-07-18,Eric,393.96500000000003,6,0.9873395408785609,7,1,0,0,0,0,0,1,0
2023-07-21,Phone,1,120.53,Store B,0.05,Diana,114.5035,Cash,WINTER15,0,REG100012,Cust 2372,20.35,2023-07-21,2023-07-31,Cameron,6.0265,10,0.8222761749640841,7,0,0,0,0,0,0,1,0
2025-01-18,Tablet,1,157.83,Store A,0.15,Carlos,134.1555,Debit Card,FREESHIP,0,REG100013,Cust 4672,42.82,2025-01-18,2025-01-22,Wendy,23.674500000000002,4,0.6808181550514143,1,0,0,0,1,1,0,0,1
2024-12-08,Desk,15,220.3,Store B,0.15,Diana,2808.825,Debit Card,FREESHIP,0,REG100014,Cust 4548,39.66,2024-12-08,2024-12-15,Ryan,495.67499999999995,7,0.9858802168166405,12,0,1,0,0,0,0,0,1
2025-05-11,Chair,17,162.96,Store A,0.05,Eva,2631.804,Gift Card,FREESHIP,0,REG100015,Cust 7037,8.11,2025-05-11,2025-05-17,Wendy,138.51600000000002,6,0.9969184635329986,5,0,0,0,1,1,1,0,0
2023-02-26,Laptop,19,236.11,Store D,0.0,Bob,4486.09,Online,WINTER15,0,REG100016,Cust 4975,34.11,2023-02-26,2023-03-04,Wendy,0.0,6,0.9923964967265482,2,0,0,0,1,1,0,0,1
2024-05-28,Desk,11,573.14,Store D,0.05,Diana,5989.313,Cash,SAVE10,0,REG100017,Cust 8014,34.71,2024-05-28,2024-06-01,Cameron,315.22700000000003,4,0.994204677564856,5,0,0,0,0,0,1,0,0
2023-11-30,Phone,20,519.04,Store B,0.15,Carlos,8823.679999999998,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,2023-11-30,2023-12-08,Eric,1557.12,8,0.9977979709146297,11,1,0,0,0,0,0,0,0
2023-06-22,Desk,14,30.83,Store B,0.0,Carlos,431.62,Online,WINTER15,0,REG100019,Cust 4247,7.1,2023-06-22,2023-07-02,Wendy,0.0,10,0.9835503452110652,6,0,0,0,1,0,0,1,0
2025-06-05,Phone,10,319.05,Store D,0.0,Diana,3190.5,Online,FREESHIP,0,REG100020,Cust 4199,28.43,2025-06-05,2025-06-08,Wendy,0.0,3,0.9910891709763361,6,0,0,0,1,1,0,1,0
2023-03-03,Chair,14,312.79,Store A,0.05,Bob,4160.107,Online,FREESHIP,0,REG100021,Cust 4186,46.83,2023-03-03,2023-03-08,Cameron,218.95300000000003,5,0.988743078002561,3,0,0,0,0,0,1,0,0
2024-02-18,Laptop,14,395.45,Store C,0.0,Carlos,5536.3,Cash,FREESHIP,0,REG100022,Cust 8137,36.45,2024-02-18,2024-02-22,Ryan,0.0,4,0.9934161804815491,2,0,1,0,0,0,0,0,1
2023-08-06,Laptop,12,472.72,Store D,0.15,Diana,4821.744000000001,Credit Card,FREESHIP,0,REG100023,Cust 4638,27.97,2023-08-06,2023-08-14,Cameron,850.8960000000001,8,0.9941991943164132,8,0,0,0,0,0,0,1,0
2024-05-23,Desk,5,288.01,Store A,0.0,Eva,1440.05,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,2024-05-23,2024-05-30,Ryan,0.0,7,0.9675775146696295,5,0,1,0,0,1,1,0,0
2023-10-23,Phone,13,562.29,Store D,0.0,Diana,7309.77,Gift Card,SAVE10,0,REG100025,Cust 6322,38.13,2023-10-23,2023-10-28,Eric,0.0,5,0.9947836936045867,10,1,0,0,0,0,0,0,0
2025-06-16,Phone,1,101.73,Store D,0.0,Frank,101.73,Debit Card,WINTER15,0,REG100026,Cust 2609,11.59,2025-06-16,2025-06-25,Wendy,0.0,9,0.8860709721812641,6,0,0,0,1,0,0,1,0
2023-03-03,Phone,4,279.49,Store B,0.0,Diana,1117.96,Credit Card,FREESHIP,0,REG100027,Cust 6880,24.78,2023-03-03,2023-03-08,Ryan,0.0,5,0.9778346273569717,3,0,1,0,0,0,1,0,0
2024-11-18,Laptop,1,178.55,Store A,0.15,Carlos,151.7675,Debit Card,SAVE10,0,REG100028,Cust 1997,7.61,2024-11-18,2024-11-21,Sophie,26.782500000000002,3,0.9498575123132422,11,0,0,1,0,0,0,0,0
2023-05-09,Tablet,1,472.07,Store A,0.1,Carlos,424.863,Online,FREESHIP,0,REG100029,Cust 7072,33.17,2023-05-09,2023-05-17,Cameron,47.207,8,0.9219277743649129,5,0,0,0,0,1,1,0,0
2024-12-07,Tablet,12,306.29,Store D,0.0,Frank,3675.48,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,2024-12-07,2024-12-14,Ryan,0.0,7,0.9898298997681935,12,0,1,0,0,0,0,0,1
2024-02-13,Phone,7,434.77,Store C,0.15,Frank,2586.8815,Online,SAVE10,0,REG100031,Cust 9923,12.35,2024-02-13,2024-02-15,Ryan,456.50849999999997,2,0.9952259119716153,2,0,1,0,0,0,0,0,1
2025-03-09,Desk,6,64.98,Store C,0.0,Carlos,389.88,Debit Card,WINTER15,0,REG100032,Cust 2205,21.25,2025-03-09,2025-03-15,Sophie,0.0,6,0.9454960500666871,3,0,0,1,0,0,1,0,0
2023-04-05,Desk,17,476.49,Store D,0.0,Alice,8100.33,Gift Card,FREESHIP,0,REG100033,Cust 6403,17.91,2023-04-05,2023-04-11,Cameron,0.0,6,0.9977889789675236,4,0,0,0,0,0,1,0,0
2025-05-08,Monitor,4,559.72,Store D,0.15,Diana,1903.048,Online,SAVE10,0,REG100034,Cust 3953,41.91,2025-05-08,2025-05-12,Ryan,335.832,4,0.9779774340951988,5,0,1,0,0,0,1,0,0
2023-09-03,Tablet,14,82.14,Store C,0.0,Alice,1149.96,Credit Card,FREESHIP,0,REG100035,Cust 7902,12.57,2023-09-03,2023-09-11,Ryan,0.0,8,0.989069185015131,9,0,1,0,0,0,0,0,0
2025-03-21,Chair,9,343.21,Store A,0.05,Carlos,2934.4455,Debit Card,FREESHIP,0,REG100036,Cust 9968,40.29,2025-03-21,2025-03-28,Cameron,154.4445,7,0.986269978433745,3,0,0,0,0,0,1,0,0
2025-06-20,Chair,7,301.01,Store B,0.15,Diana,1791.0095,Cash,SAVE10,0,REG100037,Cust 3787,34.97,2025-06-20,2025-06-30,Sophie,316.06049999999993,10,0.9804746987662545,6,0,0,1,0,0,0,1,0
2024-02-15,Printer,14,428.13,Store C,0.1,Bob,5394.438,Cash,FREESHIP,0,REG100038,Cust 2469,24.77,2024-02-15,2024-02-25,Cameron,599.382,10,0.9954082334434096,2,0,0,0,0,0,0,0,1
2023-06-09,Laptop,2,503.28,Store D,0.15,Alice,855.5759999999999,Gift Card,FREESHIP,0,REG100039,Cust 6468,34.79,2023-06-09,2023-06-17,Cameron,150.98399999999998,8,0.9593373353156237,6,0,0,0,0,0,0,1,0
2023-08-10,Printer,5,470.32,Store A,0.1,Eva,2116.44,Debit Card,SAVE10,0,REG100040,Cust 5312,17.77,2023-08-10,2023-08-14,Sophie,235.16,4,0.9916038252915272,8,0,0,1,0,0,0,1,0
2024-06-16,Printer,20,65.17,Store C,0.05,Eva,1238.23,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,2024-06-16,2024-06-25,Cameron,65.17,9,0.982458832365554,6,0,0,0,0,1,0,1,0
2023-07-23,Laptop,12,36.17,Store A,0.0,Eva,434.04,Online,WINTER15,0,REG100042,Cust 7903,34.85,2023-07-23,2023-07-26,Sophie,0.0,3,0.9197078610266335,7,0,0,1,0,0,0,1,0
2023-05-20,Printer,4,459.31,Store D,0.15,Carlos,1561.654,Gift Card,WINTER15,0,REG100043,Cust 9605,27.39,2023-05-20,2023-05-27,Cameron,275.586,7,0.9824609036316623,5,0,0,0,0,1,1,0,0
2023-06-30,Laptop,2,416.06,Store D,0.05,Eva,790.514,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,2023-06-30,2023-07-04,Sophie,41.606,4,0.9853007030868524,6,0,0,1,0,0,0,1,0
2024-06-04,Tablet,16,302.58,Store D,0.0,Alice,4841.28,Online,WINTER15,0,REG100045,Cust 5533,20.76,2024-06-04,2024-06-14,Sophie,0.0,10,0.9957118778504858,6,0,0,1,0,0,0,1,0
2025-02-03,Chair,11,33.13,Store A,0.15,Frank,309.7655,Online,FREESHIP,0,REG100046,Cust 6362,24.95,2025-02-03,2025-02-05,Wendy,54.6645,2,0.919455200788984,2,0,0,0,1,0,0,0,1
2024-01-09,Tablet,8,582.52,Store D,0.15,Frank,3961.136,Gift Card,WINTER15,0,REG100047,Cust 4826,6.47,2024-01-09,2024-01-13,Eric,699.024,4,0.9983666301788174,1,1,0,0,0,0,0,0,1
2024-03-14,Desk,5,165.15,Store A,0.1,Eva,743.1750000000001,Gift Card,FREESHIP,0,REG100048,Cust 2171,20.57,2024-03-14,2024-03-16,Ryan,82.575,2,0.9723214586066539,3,0,1,0,0,0,1,0,0
2024-09-06,Monitor,14,242.82,Store D,0.15,Alice,2889.558,Cash,WINTER15,0,REG100049,Cust 4005,20.71,2024-09-06,2024-09-13,Wendy,509.92199999999997,7,0.9928328138767244,9,0,0,0,1,1,0,0,0
2023-03-17,Monitor,13,65.99,Store A,0.1,Frank,772.083,Cash,WINTER15,0,REG100050,Cust 7032,12.87,2023-03-17,2023-03-20,Eric,85.78699999999999,3,0.9833308076981361,3,1,0,0,0,1,1,0,0
2025-01-17,Chair,2,251.69,Store C,0.0,Alice,503.38,Debit Card,FREESHIP,0,REG100051,Cust 7167,42.49,2025-01-17,2025-01-24,Wendy,0.0,7,0.915590607493345,1,0,0,0,1,1,0,0,1
2024-09-12,Laptop,1,269.41,Store B,0.1,Eva,242.469,Cash,WINTER15,0,REG100052,Cust 5702,19.22,2024-09-12,2024-09-18,Sophie,26.941000000000003,6,0.9207321348296071,9,0,0,1,0,1,0,0,0
2024-01-05,Monitor,2,371.3,Store B,0.05,Bob,705.47,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,2024-01-05,2024-01-15,Sophie,37.13,10,0.9482472677789275,1,0,0,1,0,1,0,0,1
2024-04-19,Tablet,11,288.24,Store A,0.15,Diana,2695.044,Online,FREESHIP,0,REG100054,Cust 8149,37.39,2024-04-19,2024-04-25,Wendy,475.596,6,0.9861263860627136,4,0,0,0,1,1,1,0,0
2025-06-11,Tablet,11,232.75,Store D,0.05,Eva,2432.2375,Credit Card,SAVE10,0,REG100055,Cust 3638,36.33,2025-06-11,2025-06-21,Cameron,128.01250000000002,10,0.9850631363096737,6,0,0,0,0,1,0,1,0
2025-03-06,Phone,17,146.28,Store B,0.15,Carlos,2113.746,Cash,SAVE10,0,REG100056,Cust 9973,7.84,2025-03-06,2025-03-15,Eric,373.014,9,0.99629094508044,3,1,0,0,0,0,1,0,0
2023-05-24,Chair,5,100.38,Store C,0.1,Eva,451.71,Gift Card,WINTER15,0,REG100057,Cust 4214,18.35,2023-05-24,2023-05-26,Eric,50.19,2,0.9593765911757544,5,1,0,0,0,0,1,0,0
2023-01-27,Phone,11,375.48,Store B,0.05,Bob,3923.766000000001,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,2023-01-27,2023-02-03,Sophie,206.51400000000004,7,0.9959350277259144,1,0,0,1,0,0,0,0,1
2024-03-21,Laptop,18,316.89,Store B,0.05,Bob,5418.819,Cash,FREESHIP,0,REG100059,Cust 3552,15.69,2024-03-21,2024-03-27,Sophie,285.20099999999996,6,0.9971045351394834,3,0,0,1,0,1,1,0,0
2025-01-25,Laptop,20,295.06,Store D,0.15,Frank,5016.02,Online,SAVE10,0,REG100060,Cust 3354,13.66,2025-01-25,2025-01-31,Wendy,885.18,6,0.9972767253719085,1,0,0,0,1,0,0,0,1
2023-06-12,Phone,8,301.68,Store D,0.0,Eva,2413.44,Cash,SAVE10,0,REG100061,Cust 3903,36.54,2023-06-12,2023-06-21,Cameron,0.0,9,0.984859785202864,6,0,0,0,0,0,0,1,0
2025-03-22,Chair,3,475.39,Store B,0.1,Alice,1283.553,Gift Card,FREESHIP,0,REG100062,Cust 5358,15.62,2025-03-22,2025-03-26,Cameron,142.61700000000002,4,0.9878306544412269,3,0,0,0,0,0,1,0,0
2024-02-24,Desk,16,47.25,Store D,0.15,Bob,642.6,Debit Card,FREESHIP,0,REG100063,Cust 8144,29.5,2024-02-24,2024-02-27,Cameron,113.39999999999999,3,0.9540927482103952,2,0,0,0,0,0,0,0,1
2023-12-09,Chair,15,511.17,Store B,0.0,Frank,7667.55,Online,FREESHIP,0,REG100064,Cust 6747,21.77,2023-12-09,2023-12-12,Sophie,0.0,3,0.9971607619122144,12,0,0,1,0,1,0,0,1
2023-10-01,Monitor,3,66.58,Store B,0.1,Frank,179.766,Debit Card,FREESHIP,0,REG100065,Cust 8330,22.43,2023-10-01,2023-10-05,Cameron,19.974000000000004,4,0.8752266835775396,10,0,0,0,0,0,0,0,0
2023-07-31,Tablet,5,490.52,Store D,0.05,Frank,2329.97,Online,FREESHIP,0,REG100066,Cust 7186,12.24,2023-07-31,2023-08-07,Wendy,122.63,7,0.9947467134769976,7,0,0,0,1,1,0,1,0
2024-12-24,Chair,8,405.96,Store A,0.05,Carlos,3085.296,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,2024-12-24,2024-12-31,Sophie,162.38400000000001,7,0.98662364972437,12,0,0,1,0,1,0,0,1
2024-11-15,Phone,1,159.41,Store B,0.1,Bob,143.469,Credit Card,FREESHIP,0,REG100068,Cust 3986,35.14,2024-11-15,2024-11-19,Ryan,15.941,4,0.7550690393046582,11,0,1,0,0,0,0,0,0
2025-03-13,Monitor,16,38.49,Store C,0.15,Carlos,523.464,Debit Card,SAVE10,0,REG100069,Cust 3213,8.38,2025-03-13,2025-03-22,Wendy,92.376,9,0.983991258233613,3,0,0,0,1,0,1,0,0
2024-03-03,Tablet,15,328.36,Store D,0.15,Alice,4186.59,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,2024-03-03,2024-03-12,Eric,738.8100000000001,9,0.9962355998557297,3,1,0,0,0,0,1,0,0
2023-02-11,Tablet,20,548.01,Store A,0.1,Eva,9736.104374999999,Credit Card,WINTER15,0,REG100071,Cust 4639,5.89,2023-02-11,2023-02-14,Cameron,1096.0200000000002,3,0.9994028900526958,2,0,0,0,0,1,0,0,1
2023-10-26,Desk,13,484.45,Store B,0.05,Carlos,5982.9575,Gift Card,WINTER15,0,REG100072,Cust 4153,6.57,2023-10-26,2023-11-05,Sophie,314.8925,10,0.9989018808841614,10,0,0,1,0,1,0,0,0
2023-10-21,Monitor,13,195.84,Store A,0.05,Alice,2418.624,Credit Card,FREESHIP,0,REG100073,Cust 7096,33.52,2023-10-21,2023-10-28,Sophie,127.296,7,0.9861408801037284,10,0,0,1,0,1,0,0,0
2024-01-14,Tablet,19,29.94,Store D,0.15,Diana,483.531,Debit Card,FREESHIP,0,REG100074,Cust 3806,33.59,2024-01-14,2024-01-20,Cameron,85.329,6,0.9305318583503437,1,0,0,0,0,0,0,0,1
2023-07-27,Desk,10,553.91,Store D,0.1,Eva,4985.19,Online,FREESHIP,0,REG100075,Cust 9345,31.3,2023-07-27,2023-07-31,Cameron,553.91,4,0.993721402795079,7,0,0,0,0,1,0,1,0
2024-10-23,Phone,14,445.52,Store B,0.1,Bob,5613.552,Online,SAVE10,0,REG100076,Cust 4456,14.41,2024-10-23,2024-10-25,Sophie,623.7280000000001,2,0.9974329978594658,10,0,0,1,0,0,0,0,0
2023-09-26,Chair,5,551.58,Store B,0.15,Alice,2344.215,Online,WINTER15,0,REG100077,Cust 1089,7.87,2023-09-26,2023-10-01,Sophie,413.685,5,0.996642799401932,9,0,0,1,0,0,0,0,0
2023-12-16,Phone,13,241.4,Store D,0.0,Carlos,3138.2,Gift Card,SAVE10,0,REG100078,Cust 7230,49.05,2023-12-16,2023-12-20,Eric,0.0,4,0.9843700210311643,12,1,0,0,0,0,0,0,1
2024-01-02,Printer,19,351.93,Store A,0.0,Alice,6686.67,Credit Card,FREESHIP,0,REG100079,Cust 6597,39.98,2024-01-02,2024-01-05,Cameron,0.0,3,0.9940209401690229,1,0,0,0,0,1,0,0,1
2024-02-16,Phone,4,83.75,Store A,0.05,Alice,318.25,Debit Card,SAVE10,0,REG100080,Cust 4108,38.82,2024-02-16,2024-02-25,Ryan,16.75,9,0.8780204241948154,2,0,1,0,0,0,0,0,1
2024-05-03,Monitor,5,416.95,Store A,0.15,Frank,1772.0375,Online,FREESHIP,0,REG100081,Cust 2883,24.03,2024-05-03,2024-05-12,Eric,312.7125,9,0.9864393388966092,5,1,0,0,0,1,1,0,0
2023-05-27,Monitor,18,142.43,Store C,0.05,Bob,2435.553,Credit Card,SAVE10,0,REG100082,Cust 5018,12.38,2023-05-27,2023-06-02,Wendy,128.187,6,0.9949169654694436,5,0,0,0,1,0,1,0,0
2023-01-05,Desk,12,582.52,Store A,0.0,Bob,6990.24,Credit Card,FREESHIP,0,REG100083,Cust 1231,41.16,2023-01-05,2023-01-11,Eric,0.0,6,0.9941117901531278,1,1,0,0,0,1,0,0,1
2025-05-21,Chair,20,129.56,Store A,0.15,Diana,2202.52,Online,WINTER15,0,REG100084,Cust 2209,40.21,2025-05-21,2025-05-23,Eric,388.67999999999995,2,0.9817436391042987,5,1,0,0,0,0,1,0,0
2023-07-21,Tablet,17,431.82,Store B,0.0,Eva,7340.94,Gift Card,FREESHIP,0,REG100085,Cust 6684,37.75,2023-07-21,2023-07-25,Cameron,0.0,4,0.9948576067915008,7,0,0,0,0,0,0,1,0
2025-05-25,Laptop,15,15.85,Store C,0.0,Bob,237.75,Debit Card,WINTER15,0,REG100086,Cust 5289,23.49,2025-05-25,2025-06-03,Eric,0.0,9,0.901198738170347,5,1,0,0,0,0,1,0,0
2024-11-16,Tablet,20,548.34,Store B,0.1,Bob,9736.104374999999,Gift Card,WINTER15,0,REG100087,Cust 9159,33.47,2024-11-16,2024-11-22,Sophie,1096.68,6,0.996608957135273,11,0,0,1,0,0,0,0,0
2023-11-19,Laptop,16,525.83,Store C,0.05,Frank,7992.616,Online,FREESHIP,0,REG100088,Cust 4844,36.47,2023-11-19,2023-11-25,Ryan,420.66400000000004,6,0.9954370383864306,11,0,1,0,0,1,0,0,0
2025-01-12,Laptop,15,411.38,Store A,0.05,Bob,5862.165,Online,SAVE10,0,REG100089,Cust 3273,48.51,2025-01-12,2025-01-21,Cameron,308.535,9,0.9917249002714867,1,0,0,0,0,1,0,0,1
2023-03-29,Monitor,19,559.95,Store A,0.1,Carlos,9575.145,Credit Card,WINTER15,0,REG100090,Cust 8160,18.3,2023-03-29,2023-04-03,Ryan,1063.9050000000002,5,0.9980888017883803,3,0,1,0,0,1,1,0,0
2025-03-01,Desk,8,179.9,Store C,0.05,Carlos,1367.24,Online,SAVE10,0,REG100091,Cust 4439,14.8,2025-03-01,2025-03-05,Ryan,71.96000000000001,4,0.9891752728123812,3,0,1,0,0,0,1,0,0
2023-10-18,Chair,12,494.15,Store B,0.15,Diana,5040.329999999999,Online,SAVE10,0,REG100092,Cust 1127,18.05,2023-10-18,2023-10-20,Ryan,889.4699999999999,2,0.9964188852714009,10,0,1,0,0,1,0,0,0
2025-04-13,Desk,10,462.99,Store C,0.0,Bob,4629.9,Credit Card,WINTER15,0,REG100093,Cust 4696,5.01,2025-04-13,2025-04-15,Eric,0.0,2,0.9989179031944534,4,1,0,0,0,1,1,0,0
2025-05-13,Laptop,7,460.24,Store A,0.05,Alice,3060.596,Cash,SAVE10,0,REG100094,Cust 3014,11.54,2025-05-13,2025-05-23,Cameron,161.08400000000003,10,0.9962294925563517,5,0,0,0,0,0,1,0,0
2024-04-21,Printer,17,309.52,Store B,0.05,Eva,4998.748,Online,FREESHIP,0,REG100095,Cust 2539,6.11,2024-04-21,2024-04-27,Wendy,263.09200000000004,6,0.9987776939345613,4,0,0,0,1,1,1,0,0
2025-01-31,Monitor,1,323.83,Store B,0.05,Eva,307.6385,Credit Card,WINTER15,0,REG100096,Cust 3916,27.48,2025-01-31,2025-02-08,Cameron,16.1915,8,0.9106743791820594,1,0,0,0,0,1,0,0,1
2025-03-14,Chair,10,503.07,Store C,0.0,Bob,5030.7,Credit Card,FREESHIP,0,REG100097,Cust 6329,44.61,2025-03-14,2025-03-19,Cameron,0.0,5,0.9911324467767906,3,0,0,0,0,0,1,0,0
2024-05-26,Laptop,20,491.68,Store D,0.15,Alice,8358.56,Online,SAVE10,0,REG100098,Cust 4384,43.46,2024-05-26,2024-05-29,Wendy,1475.04,3,0.9948005398058997,5,0,0,0,1,1,1,0,0
2023-07-22,Phone,17,468.45,Store A,0.05,Carlos,7565.4675,Credit Card,FREESHIP,0,REG100099,Cust 7756,17.88,2023-07-22,2023-07-26,Ryan,398.1825,4,0.9976366298579697,7,0,1,0,0,0,0,1,0
2024-03-21,Laptop,11,401.76,Store D,0.15,Frank,3756.456,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,2024-03-21,2024-03-30,Ryan,662.9039999999999,9,0.9872140123563273,3,0,1,0,0,0,1,0,0
2023-04-05,Printer,3,221.0,Store B,0.0,Frank,663.0,Cash,FREESHIP,0,REG100101,Cust 3845,32.31,2023-04-05,2023-04-08,Wendy,0.0,3,0.9512669683257919,4,0,0,0,1,1,1,0,0
2024-08-26,Monitor,6,188.45,Store C,0.05,Alice,1074.165,Gift Card,FREESHIP,0,REG100102,Cust 9996,6.77,2024-08-26,2024-09-01,Eric,56.535,6,0.993697430096866,8,1,0,0,0,1,0,1,0
2024-07-07,Desk,3,566.2,Store D,0.0,Bob,1698.6,Gift Card,FREESHIP,0,REG100103,Cust 1711,28.97,2024-07-07,2024-07-17,Ryan,0.0,10,0.9829447780525138,7,0,1,0,0,0,0,1,0
2023-09-29,Monitor,14,167.09,Store D,0.05,Alice,2222.297,Gift Card,SAVE10,0,REG100104,Cust 4522,47.05,2023-09-29,2023-10-08,Eric,116.96300000000002,9,0.9788282124306517,9,1,0,0,0,0,0,0,0
2023-10-04,Monitor,16,36.16,Store C,0.1,Carlos,520.704,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,2023-10-04,2023-10-11,Wendy,57.855999999999995,7,0.9488384955752213,10,0,0,0,1,1,0,0,0
2025-06-09,Printer,2,73.94,Store B,0.05,Carlos,140.486,Debit Card,SAVE10,0,REG100106,Cust 4121,28.05,2025-06-09,2025-06-16,Cameron,7.394,7,0.8003359765385875,6,0,0,0,0,1,0,1,0
2025-06-12,Printer,16,459.49,Store A,0.1,Eva,6616.656,Online,SAVE10,0,REG100107,Cust 9092,26.99,2025-06-12,2025-06-14,Eric,735.1840000000001,2,0.9959209002251289,6,1,0,0,0,1,0,1,0
2024-06-29,Chair,3,168.05,Store A,0.0,Carlos,504.15,Cash,FREESHIP,0,REG100108,Cust 9090,21.08,2024-06-29,2024-07-06,Eric,0.0,7,0.9581870475057027,6,1,0,0,0,0,0,1,0
2024-03-23,Printer,14,37.54,Store B,0.15,Alice,446.7259999999999,Credit Card,FREESHIP,0,REG100109,Cust 1983,49.6,2024-03-23,2024-04-02,Ryan,78.83399999999999,10,0.8889699726454247,3,0,1,0,0,0,1,0,0
2024-07-14,Tablet,4,151.16,Store B,0.0,Alice,604.64,Gift Card,SAVE10,0,REG100110,Cust 8834,41.4,2024-07-14,2024-07-21,Sophie,0.0,7,0.9315295051600953,7,0,0,1,0,1,0,1,0
2024-03-15,Tablet,17,78.58,Store A,0.1,Bob,1202.274,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,2024-03-15,2024-03-25,Sophie,133.58599999999998,10,0.9933293076287103,3,0,0,1,0,1,1,0,0
2025-04-19,Chair,15,37.33,Store B,0.05,Carlos,531.9524999999999,Cash,FREESHIP,0,REG100112,Cust 1293,43.69,2025-04-19,2025-04-24,Cameron,27.9975,5,0.9178686066895071,4,0,0,0,0,0,1,0,0
2024-02-15,Tablet,18,537.02,Store A,0.15,Carlos,8216.406,Debit Card,SAVE10,0,REG100113,Cust 3173,23.94,2024-02-15,2024-02-20,Wendy,1449.954,5,0.9970863173022365,2,0,0,0,1,1,0,0,1
2024-01-25,Desk,5,215.6,Store C,0.0,Frank,1078.0,Online,WINTER15,0,REG100114,Cust 8641,28.36,2024-01-25,2024-02-04,Eric,0.0,10,0.973692022263451,1,1,0,0,0,1,0,0,1
2025-04-15,Laptop,18,209.5,Store D,0.0,Carlos,3771.0,Credit Card,FREESHIP,0,REG100115,Cust 7656,38.23,2025-04-15,2025-04-23,Cameron,0.0,8,0.9898621055422965,4,0,0,0,0,1,1,0,0
